,"6:0","6:20","6:40","7:0","7:20","7:40","8:0","8:20","8:40","9:0","9:20","9:40","10:0","10:20","10:40","11:0","11:20","11:40","12:0","12:20","12:40","13:0","13:20","13:40","14:0","14:20","14:40","15:0","15:20","15:40"
"1",,,,"142","2","200","45","34","39","194","57","66","68","82","92","101","104","113","127","137","146","159","169","182","186","202",,,,
"2",,,,"1","3","16","15","29","44","37","51","59","73","79","87","102","108","119","124","135","152","156","174","181","187","198",,,,
"3",,,,"50","157","22","21","30","42","40","49","25","4","75","88","97","109","118","123","136","143","161","172","177","160","203",,,,
"4",,,,"56","179","9","10","28","17","12","48","65","67","80","86","100","112","117","126","132","145","155","166","183","190","204",,,,
"5",,,,"96","5","13","18","26","43","46","53","64","70","81","91","98","107","120","128","139","149","158","170","178","195","197",,,,
"6",,,,"138","6","32","196","31","19","47","58","60","71","76","85","94","105","114","129","140","150","153","175","184","189","201",,,,
"7",,,,"99","168","20","14","36","41","38","54","61","69","78","89","93","106","122","125","134","144","163","173","180","191","205",,,,
"8",,,,"154","165","11","121","27","8","7","55","62","72","77","90","103","111","115","130","141","151","164","167","185","188","199",,,,
"9",,,,"147","192","23","24","35","33","208","52","63","74","83","84","95","110","116","131","133","148","162","171","176","193","206","207",,,
